NOME,CNPJ,END.,SITE,SEG,FOMATO,TFIXO,RESPON,EMAIL,NCM1,NCM2,MOTIVO,IMPORT,IMPORTK,PAISES,CARGO
TRATTA SOLUCOES COM / GRUDADO ,08.607.706/0001-28,"Rua Itajuba, 1901",https://www.grudado.com.br/,Furniture & Home Decor,Distribuidor,553125352553 ,Luiz Henrique Rocha Amaral,grudado@grudado.com.br,391810,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Coreia do sul",DIRETOR
INTERBRAX LTDA,04.541.683/0001-45,"AVENIDA QUEIROZ FILHO, 1700",www.interbrax.com,"Electronics, Computers & Telecommunication",Trading,551138330733 ,Thomaz Queiroz,tomaz@interbrax.com,830810,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Não,China,CEO
Hypera S.A. | Hypera Pharma,02.932.074/0001-91,"Rua Nova Cidade, 404
VILA OLIMPIA",www.hypera.com.br,Chemicals & Pharmaceuticals,Indústria,551136274000 ,Camila Garcia Rocha ,camila.g.rocha@hypera.com.br,330499,300590,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Europa, Índia, USA",STAFF
LOGIS COMÉRCIO ATACADISTA DE COSMÉTICOS LTDA,22.726.825/0001-20,"Rodovia Governador Mario Covas, 10600
Galpao8 Lote Tabajara
SERRA DO ANIL",https://www.lojaadcos.com.br/,Health & Medical devices,Indústria,552721211212 ,Lucas Vieira,lucas.vieira@adcos.com.br,90219099,300490,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,,
ADCOS - AVLFM INDÚSTRIA DE COSMÉTICOS LTDA,39.299.870/0001-49,"Rua 7, S/N
Quadraxiv-F Lote 03 04a e 07
CIVIT II",https://www.lojaadcos.com.br/,Health & Medical devices,Indústria,552721211212 ,Lucas Vieira ,lucas.vieira@adcos.com,902190,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,,
Push Matcha Comercio de Produtos Saudaveis Ltda.,39.691.470/0001-84,Alameda Do Inga 95 Sala 201 ,https://www.pushmatcha.com.br/,Food and Drinks,Varejista,5531992114727 ,Bruno Rohlfs,bruno@pushmatcha.com,210120,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,JAPAO,DIRETOR
MIMOS KOREA DESIGN LTDA,41.147.282/0002-12,"Avenida Republica do Libano, 251, Loja 144 Shopping Riomar - Pina",https://www.mimoskorea.com.br/,Office & School Supplies,Varejista,5581998769121 ,Ignacio,mimoskorea@gmail.com,950490,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Índia",CEO
ARGENTUM SEPARACAO DE METAIS LTDA,10.946.243/0001-70,"Via Prefeito Jurandyr Paixao, 2400, Galpao11 e 12",https://argentumhedge.com/,Metals & Rubber & Plastic Products,Varejista,5548991728625 ,Monaliza Kelen Martins,contato@argentumhedge.com.br,711319,711319,Demanda futura (Importação nos próximos 6 meses),Não,Não,,CEO
BENTELER COMPONENTES AUTOMOTIVOS LTDA,00.853.157/0001-60,"Avenida Marginal Sul/Rod S Dumont, 802
Km 69
ZONA RURAL",benteler.com,Automobiles & Vehicles,Indústria,,Matheus Lima,matheus.lima@benteler.com,820730,,Conference Call,Sim,Sim,"China, Europa, Índia, Coreia do sul, USA",STAFF
Industria e Comercio Quimetal SA,27.240.464/0001-21,"Avenida Nossa Senhora da Penha 570 Sala 109, Praia do Canto, Vitória ES",https://www.quimetal.com.br/index.php,Beauty & Living Ware,Distribuidor,552733341600 ,Gabriel ,gabrielbarros@quimetal.com.br,330499,,Avaliação de novos fornecedores,Sim,Não,"Europa, USA",MANAGER
